IMAGE_FILE	DESCRIPTION	AUTHOR	TITLE	TECHNIQUE	DATE	TYPE	SCHOOL	TIMEFRAME
41294-10ladisl.jpg	Of the Hungarian kings St Ladislas is perhaps the one most often represented in post-medieval frescoes, altar paintings and statues. In the Middle Ages he was associated with the ideal of chivalry and the legends which gathered around him determined the manner of his representation. Thus the knightly armour and the battle-axe have become permanent attributes, in addition to the crown and the orb.The painting illustrated here, dating from the late sixteenth century, is only superficially linked with medieval portraits of St. Ladislas. The king is shown seated on a throne wearing an ample, richly embroidered cloak studded with pearls round the hem. In the foreground is a voluted and foiled shield with the national emblem, stylized in harmony with the throne. The background is designed to suggest the interior of a Renaissance palace. Through opening on either side of the wall behind the throne - draped with embroidered hangings - there is a view of landscape. A similar motif was often used to fill in the background in north Italian Madonna paintings of the fifteenth and sixteenth centuries. The monochrome landscape on the left is a topographic reference to one of St. Ladislas' most important church activities, the foundation of the Cathedral in Nagyvárad, while the one on the right shows his legendary defeat of the Cumanian abductor. This evocation of two popular episodes from the story of the king's life is intended partly to identify St. Ladislas as a rule of worldly power, and partly to indicate the ideal unity of the Christian king and the Christian knight.St Ladislas is shown as a historical personage, without a halo - a fact indicating that the painting was destined for a secular building. The episodes from the king's life or, to be mere accurate, from legends associated with his name, are treated as historical facts. The same approach characterized the series of prints of royalty and other notabilities which became so popular all Europe in the course of the sixteenth century. It may be assumed that such prints served as models for the painted portrait of St. Ladislas and the two related pictures of St. Stephen and St Emeric	UNKNOWN MASTER, Hungarian	Saint Ladislaus, King of Hungary	Oil on wood, 103 x 101,3 cm	c. 1600	religious	Hungarian	1551-1600
42791-1sacris.jpg	This ceiling painting in the sacristy of San Sebastiano has an unusual iconography compared with older depictions. Mary is being crowned by Christ, while God the Father touches His Son's shoulder with his left hand. The date of completion of the ceiling painting is recorded in a book in one of the four corner tondos held by a winged angel. The inscription reads: M.D.L.V./ DIE XXIII/ NOVEMBER (November 23, 1555)	VERONESE, Paolo	Coronation of the Virgin	Oil on canvas, 200 x 170 cm	1555	religious	Italian	1551-1600
14376-worship.jpg	In the same period when the most talented artists in the country had gathered around Rubens in Antwerp, there were also other artists working in Antwerp who still clung to the taste of Rubens' predecessors. One of these was Frans II Francken, who painted Rockox's 'constcamer'. He was a very popular artist in his time, and although he lacked any outstanding imaginative power or great technical skill, his fame rests on his ability to convert monumental subjects from large-scale art works to proportions more suitable for private houses. The Worship of the Golden Calf is a typical example of the many religious and mythological scenes he painted	FRANCKEN, Frans II	Worship of the Golden Calf	Oil on panel, 60 x 88 cm	-	religious	Flemish	1601-1650
24776-annuncia.jpg	"Based on its style the Annunciation is attributed to the Master of Flémalle and dated between c. 1415 and 1425. The painter's provisional name refers to the ""Abbey of Flémalle"" where certain of his works are assumed to have been painted. However, in this village near Liège there was never any abbey. Today the master is commonly identified with the Tournai artist Robert Campin.The scene takes place inside a bourgeois dwelling, a novelty in the painting of the time, as until then the scene had always been depicted in or in front of a church. In line with tradition, Gabriel enters the room from the left. The Virgin is seated in front of a low bench on the tiled floor, a sign of her humility. The edge of her mantle is decorated with an inscription, another innovation of the Master of Flémalle. Its text appears to be inspired by the popular medieval Marian hymn Salve Regina. The Virgin's gestures illustrate her acceptance. Her right hand rests on her breast, her eyes modestly cast downwards. On Mary's lap is an open book, a second one lies on the table. This motif is possibly taken from devotional tracts of around 1400, which state that the Virgin was meditating on the Holy Scriptures when Gabriel entered. The books also indicate her as the possessor of divine wisdom. In this connection, the bench is decorated with little lions, as was once the throne of Solomon, the Old Testament king who used to be seen as the epitome of wisdom. The stained glass figures possibly represent prophets who foretold the coming of the Messiah.Other apparently everyday objects also have an additional, deeper significance. The hand broom next to the chimney symbolises the purification from the stain of sin, and the white lilies in the maiolica vase Mary's virginity. The open window probably alludes to her honorary title as 'fenestra coeli', the window of heaven. The candles and their holders refer to Christ and the Virgin. The fact that the candles are snuffed out indicates that conception has already taken place. One intriguing detail is the woodcut above the chimney, depicting St Christopher carrying the Child across the river. This motif is a good illustration of the chronological jumps frequently found in the paintings of Flemish Primitives, as according to the main scene, depicting the Annunciation, the Saviour has not even been born"	MASTER of Flémalle	Annunciation	Tempera on oak, 61 x 63,7 cm	1420s	religious	Flemish	1401-1450
23845-3manet04.jpg	The 1870s were rich in female models for Manet: the Brunette with Bare Breasts, the Blonde with Bare Breasts and the Sultana testify to it	MANET, Edouard	Brunette with Bare Breasts	Oil on canvas, 60 x 49 cm	c. 1872	portrait	French	1851-1900
07338-st-john.jpg	This painting, contracted on 23 November 1635, was executed for the convent church of Santa Paula in Seville. It is evident that the artist had mastered an Italianate manner of painting; the figure of the angel alone is sufficient to corroborate this observation. The partly clad body, the complicated, foreshortened pose, and the mastery of anatomical drawing are unique elements in Sevillian painting of the time, as are the deep perspective of the landscape and the delicate, translucent colours.Cano's mastery of this facile, sophisticated style suggests that he had passed time in Italy, although there is not the slightest evidence that he left the city until his final departure in 1638	CANO, Alonso	Saint John the Evangelist's Vision of Jerusalem	Oil on canvas, 83 x 44 cm	1636-37	religious	Spanish	1601-1650
07082-virginch.jpg	The stylistic characteristics of this painting, such as rounded faces and narrow, elongated eyes seem to be a general reflection of the foreign presence in Genoese painting at this time	CAMBIASO, Luca	Virgin and Child with the Young St John the Baptist	Oil on wood panel, 91 x 80 cm	1550-55	religious	Italian	1551-1600
24464-pisa_pr1.jpg	This painting is the central predella panel of the Pisa Altarpiece, directly beneath the enthroned Madonna and Child. Compared to Gentile da Fabriano's painting of the same subject done in Florence just a few years before, Masaccio's treatment is entirely new. Besides offering lifelike portraits of the patron and his nephew in contemporary dress at the middle right, he has given the entire scene a convincing atmosphere which surrounds the figures and the landscape. In the distance, the atmosphere breaks down the clarity of the forms resulting in an effect which is referred to as aerial perspective	MASACCIO	Adoration of the Magi	Tempera on poplar, 21 x 61 cm	1426	religious	Italian	1401-1450
30789-galitzip.jpg	The picture shows the central panel of the triptych representing Christ on the Cross between the Virgin and St John the Evangelist	PERUGINO, Pietro	The Galitzin Triptych: Christ on the Cross	Tempera on canvas, transferred from wood, 101 x 56 cm	1481-85	religious	Italian	1451-1500
31921-stillif1.jpg	The large dark vine leaves and fruit are back-lit and are sharply silhouetted against the luminous background, to quite dramatic effect. Ponce's use of this effect strongly indicates the indirect influence of Caravaggio's Basket of Fruit in the Pinacoteca Ambrosiana, Milan, almost 50 years after it was created	PONCE, Antonio	Still-Life of Apples, Pears and Figs in a Wicker Basket on a Stone Ledge	Oil on canvas, 44 x 64 cm	c. 1651	still-life	Spanish	1601-1650
