epochs,training accuracy,validation accuracy
0,0.6528346809727741,0.5842918985776129
2,0.6602866374978742,0.5844155844155844
4,0.6815293517416243,0.584786641929499
6,0.6918260385584638,0.5815708101422387
8,0.7034214065954454,0.5756338899196042
10,0.7009322675901734,0.5727891156462585
12,0.7138881588101607,0.56573902288188
14,0.7215874831867164,0.5669758812615956
16,0.7302917394598104,0.5620284477427334
18,0.7344660719531237,0.5551020408163265
20,0.7444999304277917,0.5551020408163265
22,0.755043985096087,0.563265306122449
24,0.753157805228738,0.5534941249226963
26,0.759403843477992,0.5563388991960421
28,0.7588472658122168,0.5437229437229437
30,0.7686801379075772,0.5532467532467532
32,0.7715557891807486,0.5521335807050093
34,0.7754363723504584,0.5486703772418058
36,0.7789459037429848,0.5510204081632653
38,0.7899846941141911,0.5445887445887446
40,0.7900156150956231,0.5511440940012369
42,0.7901856804934989,0.5525046382189239
44,0.7910360074828775,0.5492888064316636
46,0.7960761274562854,0.5523809523809524
48,0.8012708523368531,0.5434755720470006
50,0.8066974845781605,0.5468150896722326
52,0.7944218549496761,0.5426097711811998
54,0.8049195281458233,0.5416202844774274
56,0.8058471575887819,0.5402597402597402
58,0.8119695119123082,0.5412492269635126
60,0.8116293811165567,0.5403834260977118
62,0.8170869343392959,0.5490414347557204
64,0.8008998005596698,0.5353123067408782
66,0.8050586725622672,0.5461966604823748
68,0.8203336373896507,0.5427334570191713
70,0.8169477899228521,0.5403834260977118
72,0.8150616100555031,0.5388991960420532
74,0.8191586400952366,0.5369202226345083
76,0.8297645367263957,0.5402597402597402
78,0.8254665203073546,0.5395176252319109
80,0.827074411341816,0.5421150278293135
82,0.8272753977211237,0.534817563388992
84,0.8293780244584963,0.5427334570191713
86,0.8249872450951593,0.5424860853432282
88,0.8352375504398509,0.5354359925788498
90,0.8326401879995671,0.5385281385281385
92,0.8248635611694315,0.5407544836116265
94,0.8398756976546435,0.5333333333333333
96,0.8378349128801348,0.5267779839208411
98,0.8290378936627448,0.5369202226345083
