epochs,training accuracy,validation accuracy
0,0.4553732935483372,0.4546691403834261
2,0.4955551089191571,0.49474335188620905
4,0.5109692181629845,0.5026592455163884
6,0.5207711692769128,0.5200989486703772
8,0.5266306952582674,0.5140383426097712
10,0.5275274037197941,0.509090909090909
12,0.5281612838391491,0.5126777983920842
14,0.5379323139716454,0.5194805194805194
16,0.5427096056028818,0.5294990723562152
18,0.5422767118628345,0.527643784786642
20,0.5411944775127162,0.521830550401979
22,0.5448586138124024,0.5270253555967842
24,0.5432661832686569,0.525417439703154
26,0.543250722777941,0.527891156462585
28,0.5431888808150771,0.5257884972170687
30,0.5488474204171241,0.53147804576376
32,0.5488010389449761,0.5267779839208411
34,0.5479352514648815,0.5199752628324057
36,0.5524497147539463,0.5286332714904144
38,0.5517694531624434,0.5277674706246135
40,0.5489556438521359,0.5285095856524428
42,0.553825698427668,0.5247990105132962
44,0.5566549682286915,0.5319727891156463
46,0.5534391861597687,0.5280148423005566
48,0.5569641780430111,0.5304885590599876
50,0.5553562870085497,0.5212121212121212
52,0.5534546466504847,0.5244279529993816
54,0.5541812897141355,0.5287569573283859
56,0.5527898455496978,0.533704390847248
58,0.5574589137459223,0.5349412492269635
60,0.5596233824461588,0.5294990723562152
62,0.5605819328705494,0.5309833024118739
64,0.5636121890508805,0.5376623376623376
66,0.5598862107883305,0.5262832405689548
68,0.5613704178970641,0.5236858379715522
70,0.5593605541039872,0.5319727891156463
72,0.5606128538519812,0.5251700680272109
74,0.5591131862525317,0.5309833024118739
76,0.5628082435336498,0.5329622758194187
78,0.5628700854965136,0.5345701917130489
80,0.5623598893028865,0.5346938775510204
82,0.5644315950588271,0.5324675324675324
84,0.5647253443824307,0.536178107606679
86,0.5617414696742474,0.5272727272727272
88,0.5638595569023361,0.5369202226345083
90,0.5587885159474961,0.5329622758194187
92,0.5622980473400225,0.5349412492269635
94,0.5691934261993475,0.536178107606679
96,0.562700020098638,0.5296227581941868
98,0.5687141509871523,0.5341991341991342
100,0.5640760037723598,0.5234384662956092
102,0.5681884943028092,0.5323438466295609
104,0.5724865107218503,0.533704390847248
106,0.5660858675654366,0.5338280766852196
108,0.565127317141046,0.53147804576376
110,0.5718680910932114,0.5339517625231911
112,0.5657457367696851,0.5259121830550402
114,0.5664878403240519,0.5270253555967842
116,0.5675546141834542,0.5286332714904144
118,0.5691470447271997,0.5346938775510204
120,0.6103801734667058,0.5653679653679654
122,0.6167808166231196,0.5598021026592456
124,0.6136268765170606,0.5492888064316636
126,0.6187442989440485,0.5578231292517006
128,0.6170436449652912,0.5578231292517006
130,0.6174919991960545,0.5507730364873222
132,0.6177548275382261,0.5565862708719852
134,0.6185278520740248,0.5584415584415584
136,0.6246038249254031,0.5569573283858998
138,0.6265982282277639,0.561038961038961
140,0.6245110619811073,0.5555967841682128
142,0.6276804625778822,0.5525046382189239
144,0.6231041573259535,0.5565862708719852
146,0.6244182990368115,0.5567099567099567
148,0.6280515143550657,0.5562152133580704
150,0.6239544843153322,0.554978354978355
152,0.6277886860128941,0.5580705009276438
154,0.6260725715434208,0.5447124304267161
156,0.6287936179094324,0.5515151515151515
158,0.629643944898811,0.5543599257884972
160,0.6294893399916514,0.5559678416821274
162,0.6329988713841778,0.5517625231910946
164,0.6349932746865385,0.5505256648113791
166,0.6346222229093551,0.5548546691403834
168,0.6348850512515267,0.5482993197278911
170,0.6352406425379942,0.5536178107606679
172,0.637838004978278,0.5487940630797774
174,0.6362764954159645,0.5532467532467532
176,0.6375751766361064,0.5499072356215213
178,0.6396005009198992,0.5443413729128015
180,0.6376834000711182,0.5487940630797774
182,0.6371422828960591,0.5531230674087817
184,0.6374514927103786,0.5521335807050093
186,0.6398478687713548,0.5560915275200989
188,0.6395541194477513,0.5504019789734076
190,0.641022866065769,0.5489177489177489
192,0.6425070731745025,0.5499072356215213
194,0.6391212257077039,0.5468150896722326
196,0.64413042469968,0.5459492888064317
198,0.6416412856944079,0.5459492888064317
200,0.6411929314636446,0.5450834879406308
202,0.6424761521930706,0.5434755720470006
204,0.6421205609066032,0.5490414347557204
206,0.6449189097261947,0.547804576376005
208,0.6412702339172245,0.5548546691403834
210,0.6449962121797745,0.5463203463203463
212,0.6444860159861474,0.5413729128014843
214,0.644717923346887,0.5504019789734076
216,0.645382724447674,0.5461966604823748
218,0.6433264791824492,0.5474335188620902
