epochs,accuracy,accuracy@3,precision,recall,F1_score,data_type
0,0.5727221807318895,0.8745799103808812,"[0.4661992465466234, 0.7195421095664433, 0.5523604121733638, 0.5032412626831309, 0.5387453874532119, 0.6637710385479978, 0.3796251802016436, 0.6074818929751348, 0.6500144383480653, 0.513462574044019, 0.48438102583861]","[0.34583139264086743, 0.6664983590000843, 0.6425982715359234, 0.4191314553990118, 0.29999999999979454, 0.8109542310242764, 0.5146579804556908, 0.7709950914769503, 0.4319708309344786, 0.6075183179354547, 0.5660207300583299]","[0.3970942146816434, 0.692005241964509, 0.5940721644511517, 0.4573514339303286, 0.3853937522898426, 0.7300179130082876, 0.43694690216602544, 0.6795406272109067, 0.5190223652107553, 0.5565445785198466, 0.5220282621794451]",training
2,0.5921707742096092,0.8878205128205128,"[0.45513644266381015, 0.6611759799831816, 0.666559382040339, 0.4273923347225278, 0.5185497470484667, 0.7188713435153404, 0.7709090909062877, 0.697354403409029, 0.7181398651044664, 0.6429920664901235, 0.7368888888882339]","[0.4673963670237178, 0.8005554152989648, 0.577362698633795, 0.6138497652581438, 0.42123287671204024, 0.7894437600681522, 0.13811074918557778, 0.701026327532289, 0.38821723277674375, 0.542210895189378, 0.3735917079763977]","[0.46118494071256877, 0.7242206230055795, 0.6187630709096164, 0.5039263857953121, 0.4648526072147608, 0.7525065481416192, 0.23425414338845033, 0.6991855440279574, 0.5039860483734361, 0.5883166258428518, 0.4958133966824046]",training
4,0.6215770475479213,0.9071135175504108,"[0.5599195551874411, 0.7250951421534082, 0.5740823634734614, 0.5494904369676742, 0.5891996142713701, 0.7042126789365477, 0.5824742268036233, 0.6692355117138818, 0.5391670425499114, 0.5401404917208881, 0.687277051129199]","[0.36741189256323803, 0.8177227972732094, 0.7150822414271772, 0.46197183098586125, 0.4184931506846449, 0.8157869800056082, 0.44169381107463085, 0.775011155733978, 0.6881596622527943, 0.6858872252307467, 0.5209553853084629]","[0.4436840867021949, 0.768628381086812, 0.6368715078857112, 0.5019447804767074, 0.48938726423161794, 0.755904819943404, 0.5024082988792122, 0.7182498650995789, 0.6046197938083963, 0.6043508766998787, 0.5926685460357026]",training
6,0.6409011700273837,0.9130881254667662,"[0.5080570189029665, 0.6576542979674328, 0.7134775374373665, 0.5727667662231098, 0.6920668058447891, 0.7209359605910738, 0.5780903034784767, 0.6858862664342875, 0.701767126603558, 0.719430858158862, 0.6285714285711341]","[0.5090824406147718, 0.8904317091641276, 0.5977139671032624, 0.4951877934271719, 0.45410958904078486, 0.8320856628446098, 0.5087947882732842, 0.7728692547968966, 0.5563231625406723, 0.5154507805031808, 0.6047769265432155]","[0.5085692123731677, 0.756542256053399, 0.650485436396904, 0.5311595110221485, 0.5483870962952908, 0.772533321105449, 0.5412335407351986, 0.7267844399364447, 0.6206379785260314, 0.6005939119113408, 0.6164446480988923]",training
8,0.6538305949713716,0.923248070699527,"[0.5652886190613312, 0.7030817858552542, 0.6944937833035244, 0.5337324922484193, 0.5313432835817723, 0.7073945025163989, 0.6049848942593617, 0.7588618044089774, 0.6492048643590927, 0.6614481408999799, 0.7574324324319207]","[0.4553640739015327, 0.8985104771520075, 0.654028436018775, 0.5859154929576776, 0.6095890410954728, 0.8657253861460376, 0.5218241042341878, 0.6973672467647749, 0.6658990596813152, 0.6460656259953341, 0.5051825146460094]","[0.5044068957609693, 0.7888728799239826, 0.6736539837070047, 0.5586079556359757, 0.5677830936008729, 0.7785921249524164, 0.5603357812441991, 0.7268161096301142, 0.6574460017735445, 0.6536663975659343, 0.60610975891406]",training
10,0.6577669902912622,0.9243216330594971,"[0.5346398223991017, 0.7224413535393974, 0.761436672967576, 0.5771170006463378, 0.6228143213983157, 0.6896728016359415, 0.7655440414497856, 0.7303577692037241, 0.6658359293871929, 0.6912539515276813, 0.8188914910219993]","[0.5421518397763901, 0.8785660186819292, 0.5614719821576355, 0.5239436619717694, 0.5123287671229367, 0.8948166398179764, 0.38501628664470033, 0.7433288710396481, 0.6152369986565697, 0.6269512583623361, 0.47273546642610514]","[0.5383696275593391, 0.7928913187116827, 0.6463414629258507, 0.5492463852285668, 0.5621946631645923, 0.7789647345052235, 0.5123537056660814, 0.7367862350698793, 0.6395372027721464, 0.6575342460763125, 0.5994285709641408]",training
12,0.6747261638038337,0.9345904904157332,"[0.5905644481886557, 0.6747097242379037, 0.765401146131531, 0.6234740402999523, 0.8415094339612057, 0.7388750301761697, 0.6129032258060219, 0.7175479795934312, 0.5981365510920118, 0.7238163558103573, 0.6694521819866901]","[0.48975314392171326, 0.9389043170914065, 0.5957624756061902, 0.49753521126754724, 0.45821917808187795, 0.8700843362076309, 0.5693811074914857, 0.790807675144954, 0.7514872385337263, 0.6428798980565011, 0.6498422712930826]","[0.5354551236290698, 0.7851789291025968, 0.6700109730143752, 0.5534303800793827, 0.5933481148422916, 0.7991296774841083, 0.5903411004796777, 0.7523987428143533, 0.6660996763221269, 0.680951577028097, 0.6595014858935889]",training
14,0.6804051530993278,0.9333146626835948,"[0.5807352256863207, 0.8519480519478306, 0.8044444444441194, 0.5504267744833164, 0.8068432671072773, 0.7614106133467677, 0.8115942028973745, 0.7617904937701189, 0.5668389439865111, 0.7291666666664002, 0.7350253807102868]","[0.5812761993478822, 0.8280737187576803, 0.5550599386672553, 0.57523474178397, 0.5006849315065064, 0.8552070501278446, 0.3648208469052998, 0.7366354306112685, 0.7787372865091577, 0.6355527237971852, 0.6525461919780746]","[0.5810055860921337, 0.8398412490197937, 0.6568789173655026, 0.5625573916030249, 0.617920540524355, 0.8055877884867044, 0.503370786088516, 0.7490018143821056, 0.6561034756642741, 0.6791489356723341, 0.6913344468635755]",training
16,0.7032922579039084,0.9456839681354244,"[0.6543413028747793, 0.9124223602481638, 0.8095238095234936, 0.554700854700802, 0.7852412488166649, 0.7363798865313798, 0.6480859637336145, 0.7615630673466964, 0.7066240120435252, 0.7138709677417052, 0.6899328859057315]","[0.5247632355223937, 0.741731885887215, 0.5781990521325402, 0.6855633802816097, 0.5684931506845421, 0.8978489529043022, 0.628664495113597, 0.7861668897812775, 0.7205910573784838, 0.7050015928637449, 0.6949076160429496]","[0.5824322572925733, 0.8182704353775371, 0.6745812322344416, 0.6132283459621949, 0.6595152954995801, 0.8091374888301749, 0.6382275127272068, 0.7736694180842845, 0.7135391918989622, 0.7094085585637447, 0.6924113151710022]",training
18,0.7193801344286781,0.9517830470500374,"[0.6877126275764771, 0.8848484848482517, 0.8181493390493683, 0.5584880761616968, 0.7683121019102164, 0.7493702770780266, 0.6255072463764489, 0.7607598186018002, 0.741636436920447, 0.8106815464325187, 0.7262544802864129]","[0.5335351653469543, 0.8477657157281374, 0.6384165040421973, 0.6954225352111859, 0.6609589041091364, 0.902113143181948, 0.7029315960907473, 0.7934850513163058, 0.7061984264055448, 0.647977062758634, 0.7305092383953445]","[0.6008917638023735, 0.8659102625221822, 0.7171938610795776, 0.6194782785586452, 0.7106038286628277, 0.8186782469135886, 0.6619631896853414, 0.7767779131817892, 0.7234837309461416, 0.7202549570130481, 0.7283756454219417]",training
20,0.7315471745083395,0.9541168782673637,"[0.6306586826346802, 0.8316901408448751, 0.7584498834496625, 0.6732619596150328, 0.783570300157359, 0.792904503573513, 0.580164439876372, 0.7552663684423948, 0.7750995598405417, 0.8256955810143921, 0.7150790260569351]","[0.6131811830460633, 0.8944710931580675, 0.7256760524112836, 0.5830985915492273, 0.6794520547940551, 0.8725480905902707, 0.7355048859930062, 0.8287371709057716, 0.7096526578390501, 0.6428798980565011, 0.754393871112774]","[0.6217971420198277, 0.8619389363694456, 0.7417010965224002, 0.6249449645946407, 0.7278063091131503, 0.8308219791094776, 0.648664176467241, 0.790297871841434, 0.7409336801259482, 0.7229088298854223, 0.7342105258158252]",training
22,0.7480862584017924,0.9616784914115011,"[0.7057728119179976, 0.8849840255588698, 0.6783771532183411, 0.6702193580368484, 0.7320261437903712, 0.7950952747158169, 0.8024896265553506, 0.753808314820632, 0.8048886948928841, 0.7756739409496869, 0.6958904109586318]","[0.5884179475236307, 0.8391820247410151, 0.8344020072481644, 0.6347417840374842, 0.7671232876707075, 0.881739789633196, 0.6299674267096873, 0.8479250334671264, 0.7077336403759915, 0.7699904428159382, 0.8012618296526357]","[0.641774616386624, 0.8614746658212388, 0.7483435424479994, 0.6519983116348379, 0.7491638790984351, 0.8361790074092397, 0.7058394155651314, 0.7981015577359404, 0.753191054336995, 0.772821742105675, 0.7448680346927804]",training
24,0.7540608663181478,0.9636700273836196,"[0.7221093372036069, 0.946768060836225, 0.7599376461416576, 0.6833912260387645, 0.8239095315017577, 0.8071262587141056, 0.7335932423646955, 0.7480456535333999, 0.6919664078591836, 0.7407519708912248, 0.7727489280606132]","[0.5793355069088201, 0.8172178742739669, 0.8154446612766056, 0.6234741784036827, 0.6986301369858229, 0.888657253861377, 0.7355048859930062, 0.8539937527888573, 0.8380349261176668, 0.778273335456904, 0.7309598918428432]","[0.6428909845600173, 0.8772357718601826, 0.7867132862136959, 0.6520591660141973, 0.7561156407185401, 0.8459318053823712, 0.7345478199289309, 0.7975163557133134, 0.7580281196224605, 0.7590492460434901, 0.7512737373416315]",training
26,0.7696664177246701,0.9688666915608664,"[0.7009667376699409, 0.9196775986656699, 0.7368421052629816, 0.7100513766301264, 0.8701082431299999, 0.8558481205875924, 0.8368237347287637, 0.7702312138727705, 0.748424369747768, 0.7895752895750355, 0.7079475308639244]","[0.6641825803446154, 0.8353951022466964, 0.8586562587117762, 0.6326291079811464, 0.7157534246570441, 0.8500900217946697, 0.6247557003253259, 0.8562248995983172, 0.8203799654575281, 0.7817776361896204, 0.82694907616006]","[0.6820790811329617, 0.8755126334472106, 0.7930990081289494, 0.6691080623158057, 0.7854190149118879, 0.852959352958446, 0.715404699248896, 0.8109547351422571, 0.7827519907121142, 0.7856571149151601, 0.7628351689061388]",training
28,0.7658856111526015,0.9691778690565098,"[0.7700895208003401, 0.8615884811888384, 0.8300985368764318, 0.6552771450265045, 0.8306451612896527, 0.8402613904519114, 0.7804175665941105, 0.6847716757191252, 0.8051507286882001, 0.8451912763672345, 0.9115159401425429]","[0.567613724576885, 0.9366321635948153, 0.7750209088372526, 0.7090375586853628, 0.7054794520543113, 0.8772860797876549, 0.7061889250809732, 0.911378848728165, 0.7739397428515113, 0.7531060847401233, 0.6313654799456371]","[0.6535281757637986, 0.8975444533533208, 0.8016147630528374, 0.6810981448301995, 0.7629629624657173, 0.8583746691955771, 0.7414500679001921, 0.7819894320852534, 0.7892367901066943, 0.7964959563747067, 0.7460063892924456]",training
30,0.8036936768732885,0.976988424197162,"[0.7740422896575445, 0.883901292596737, 0.8019297775393187, 0.7433672827862764, 0.7443653618026427, 0.8390082067399303, 0.717280453257384, 0.805259240883089, 0.8491242878242563, 0.8165661694697504, 0.8286647992526477]","[0.6791647259741749, 0.9495077000754988, 0.8341232227485826, 0.693896713614942, 0.8595890410953017, 0.9106415237372395, 0.8247557003251956, 0.8690763052208059, 0.7722126271347587, 0.8196877986617331, 0.7999098693101397]","[0.7235063050633698, 0.9155306713602032, 0.8177097562641134, 0.7177806101967961, 0.7978385246133255, 0.8733584763490343, 0.7672727267746912, 0.8359515833275925, 0.80884422060649, 0.8181240058590422, 0.8140334780597458]",training
32,0.8007219317898929,0.9766928055763007,"[0.737757473751644, 0.8769230769228724, 0.8672727272724645, 0.7099552187391537, 0.6757311441761541, 0.8792546111427192, 0.8633387888699973, 0.8579621487286505, 0.7958618141509706, 0.7665722379601227, 0.7668609492086732]","[0.7145629560626677, 0.94976016157512, 0.7978812378029557, 0.7257042253520275, 0.9020547945199301, 0.8763384819481781, 0.687296416937663, 0.8010709504684693, 0.8267127230856214, 0.8620579802482121, 0.8301036502925506]","[0.725974998514227, 0.9118894674438535, 0.8311311160971131, 0.7177433392178941, 0.7726606037926157, 0.8777941241261816, 0.765324627724968, 0.8285410988682135, 0.8109939754036425, 0.8115159689121816, 0.7972300362890129]",training
34,0.8025734378889718,0.9769728653223799,"[0.7642276422763566, 0.9263771186438224, 0.844407064760066, 0.728661812104485, 0.8286666666661142, 0.8624548736461315, 0.7306397306393206, 0.7595154415612981, 0.882963662104558, 0.9425337396600163, 0.7235294117644399]","[0.685918335662111, 0.8831103256751116, 0.8396989127402176, 0.716431924882545, 0.8513698630131155, 0.9055244954040647, 0.8482084690548221, 0.9064703257473532, 0.7180963346765077, 0.6897100987573463, 0.8868859846773831]","[0.722958598748658, 0.9042264438583305, 0.842046407103906, 0.7224951169764253, 0.8398648643643887, 0.883465076003705, 0.7850467284742616, 0.826511513866261, 0.7920414853766549, 0.796541574198973, 0.7969224534428662]",training
36,0.8045027383619616,0.9791511077918845,"[0.7328687572589444, 0.9020328190054122, 0.7768208661415411, 0.8151029006642658, 0.9100932994055045, 0.8405559392264468, 0.7087004405282441, 0.8436001809135374, 0.7369858611824008, 0.8671793079339856, 0.8107758620686161]","[0.7347461574289136, 0.9298157031050417, 0.8801226651795706, 0.5903755868543907, 0.7349315068488117, 0.9226760162985954, 0.8384364820841443, 0.8323070058009074, 0.8802533103049548, 0.7903791016244694, 0.8476791347449988]","[0.7338062560414021, 0.9157135748355413, 0.8252516005996234, 0.684772989778839, 0.8131868126918659, 0.8797036630507182, 0.7681289162443287, 0.8379155430758684, 0.8022737205357031, 0.8269999995007977, 0.8288169195263199]",training
38,0.8228155339805825,0.9823095593726662,"[0.8157069029161299, 0.9259166874529993, 0.8779069767439308, 0.8002803083390608, 0.8717034925154158, 0.8647167977378399, 0.7897340754478728, 0.8114174188825883, 0.7200309358080865, 0.8235471243598845, 0.80139802631546]","[0.6861512187547985, 0.9371370865940578, 0.8419291887368715, 0.6701877934271514, 0.8376712328761385, 0.9273192457120318, 0.8319218241036925, 0.8904953145916207, 0.8933026290537529, 0.8712965912708279, 0.8783235691749084]","[0.7453410906580553, 0.9314930986214908, 0.8595417669683105, 0.7294793990566787, 0.8543485848995315, 0.8949245536843418, 0.810279187317083, 0.8491192233968459, 0.7973621098173813, 0.8467492255063266, 0.83809933297736]",training
40,0.8254605426935524,0.9835542693552403,"[0.7545600244218305, 0.945216461784889, 0.8459616985842782, 0.7487573964496155, 0.8254810882542631, 0.872644515247986, 0.8348887293604919, 0.8339264531434643, 0.8829619626376585, 0.8437206388973242, 0.8790833739634915]","[0.767505045800282, 0.8929563241603401, 0.8497351547251604, 0.7426056338027297, 0.8520547945199644, 0.9083672889224952, 0.7576547231265423, 0.878357875948159, 0.7528305507578673, 0.8582351067216125, 0.8125281658401026]","[0.760977486511715, 0.9183435020316469, 0.8478442275943425, 0.7456688268422894, 0.83855746495288, 0.8901476455211046, 0.7943989066044584, 0.8555656968967068, 0.8127201155170832, 0.8509159818118333, 0.8444964866198164]",training
42,0.8436333084391336,0.9858881005725666,"[0.7891780713550518, 0.9528907922909655, 0.9234163252439573, 0.7987086973033549, 0.8357733927429435, 0.8827276805741693, 0.7858851674636448, 0.8323560987694415, 0.8242314647376447, 0.8887059598284858, 0.9357589539505766]","[0.7744139108833431, 0.8987629386516287, 0.8168385837745145, 0.7404929577463919, 0.8993150684925347, 0.9322467544773114, 0.8560260586313642, 0.8995091477018384, 0.874688159662085, 0.859827970691029, 0.7417755745828113]","[0.781726285594878, 0.9250357277059813, 0.8668639048270627, 0.768499908143048, 0.8663807319316396, 0.9068116872134419, 0.8194574363572771, 0.8646306935042806, 0.8487105478663569, 0.8740284969091796, 0.8275515329401563]",training
